Data for Problem #1
Mass Counts Error
0 98 9.8995
1 99 9.94987
2 111 10.5357
3 89 9.43398
4 102 10.0995
5 95 9.74679
6 95 9.74679
7 94 9.69536
8 99 9.94987
9 88 9.38083
10 100 10
11 90 9.48683
12 119 10.9087
13 101 10.0499
14 103 10.1489
15 92 9.59166
16 105 10.247
17 103 10.1489
18 100 10
19 109 10.4403
20 91 9.53939
21 108 10.3923
22 76 8.7178
23 98 9.8995
24 109 10.4403
25 73 8.544
26 106 10.2956
27 96 9.79796
28 95 9.74679
29 101 10.0499
30 107 10.3441
31 98 9.8995
32 86 9.27362
33 109 10.4403
34 112 10.583
35 108 10.3923
36 102 10.0995
37 97 9.84886
38 103 10.1489
39 100 10
40 103 10.1489
41 106 10.2956
42 98 9.8995
43 104 10.198
44 106 10.2956
45 93 9.64365
46 93 9.64365
47 101 10.0499
48 111 10.5357
49 102 10.0995
50 106 10.2956
51 101 10.0499
52 83 9.11043
53 89 9.43398
54 105 10.247
55 120 10.9545
56 109 10.4403
57 106 10.2956
58 106 10.2956
59 95 9.74679
60 114 10.6771
61 84 9.16515
62 107 10.3441
63 111 10.5357
64 100 10
65 113 10.6301
66 116 10.7703
67 115 10.7238
68 113 10.6301
69 98 9.8995
70 103 10.1489
71 104 10.198
72 105 10.247
73 96 9.79796
74 117 10.8167
75 120 10.9545
76 110 10.4881
77 125 11.1803
78 106 10.2956
79 99 9.94987
80 126 11.225
81 115 10.7238
82 118 10.8628
83 114 10.6771
84 107 10.3441
85 121 11
86 117 10.8167
87 122 11.0454
88 103 10.1489
89 99 9.94987
90 106 10.2956
91 102 10.0995
92 101 10.0499
93 125 11.1803
94 113 10.6301
95 107 10.3441
96 122 11.0454
97 99 9.94987
98 112 10.583
99 111 10.5357
